ID,LL_Total_RPKM,HL_Total_RPKM,LL_Total_logCPM,HL_Total_logCPM,Total_PValue,Total_FDR,LL_Ribo_RPKM,HL_Ribo_RPKM,LL_Ribo_log2CPM,HL_Ribo_log2CPM,Ribo_PValue,Ribo_FDR,TotalFC,RiboFC,TE0,TE10,FcPoly,FcT10,rTE10
AT1G01010,0.75632389,0.480369542,2.016501521,1.774064362,1,1,1.583973993,0.377552649,2.549710438,1.641069952,0.038592578,0.979049418,0.635137338,0.238357859,2.094306439,0.785962922,0.238357859,0.635137338,0.37528554
AT1G01090,14.74261151,12.16765733,5.037709749,4.782576604,0.325133796,1,45.88747612,37.73104765,6.603839298,6.328744355,0.063576762,1,0.825339345,0.822251534,3.112574464,3.100929507,0.822251534,0.825339345,0.996258738
AT1G01100,42.3660451,48.81697706,5.844077017,6.040957983,0.377347014,1,39.08947252,38.31211786,5.731356022,5.703473412,0.912927565,1,1.15226656,0.980113452,0.922660409,0.784811354,0.980113452,1.15226656,0.850596109
AT1G01120,11.09162094,14.96645294,4.648457508,5.045621451,0.093240397,1,17.61577054,22.37725871,5.26276292,5.589715731,0.103653722,1,1.349347676,1.2702969,1.588205244,1.495161131,1.2702969,1.349347676,0.941415561
AT1G01140,2.008694668,2.623763158,3.259730182,3.560373203,0.451543691,1,3.258805028,2.39395272,3.80946624,3.446270566,0.341103752,1,1.306203078,0.734610601,1.622349618,0.912411897,0.734610601,1.306203078,0.562401523
AT1G01160,2.453210141,3.170925565,2.731391926,2.982214487,0.690098488,1,2.738613972,2.915301783,2.822612957,2.884582248,1,1,1.292561739,1.064517239,1.116338925,0.919385121,1.064517239,1.292561739,0.823571677
AT1G01170,34.01304522,38.12822939,4.894558617,5.047103089,0.529642793,1,24.98508542,21.77076778,4.485466305,4.308140683,0.480043401,1,1.120988407,0.871350544,0.73457361,0.570988166,0.871350544,1.120988407,0.77730558
AT1G01210,1.487831339,1.891053799,2.358334651,2.557249821,0.80364495,1,0.337125328,0.928291331,1.534300973,2.002816885,0.687515258,1,1.271013555,2.753549656,0.226588404,0.490885733,2.753549656,1.271013555,2.166420371
AT1G01230,4.052537755,4.475335791,3.283727193,3.393907408,0.874670104,1,4.744631817,2.51013486,3.450993833,2.776360579,0.089621991,1,1.104329203,0.529047344,1.170780411,0.560881904,0.529047344,1.104329203,0.479066697
AT1G01290,1.226869258,1.500503275,2.332254518,2.495514752,0.80364495,1,0.730828941,1.329136584,1.953868139,2.376688029,0.387742514,1,1.223034374,1.818669882,0.595686082,0.885793857,1.818669882,1.223034374,1.487014528
AT1G01300,4.470022817,3.792573229,3.528990935,3.343001944,0.651705078,1,19.57784095,15.47435358,5.413219919,5.094042452,0.113616584,1,0.848446056,0.790401435,4.379807834,4.080172655,0.790401435,0.848446056,0.93158714
AT1G01320,2.073173417,2.053534895,4.462477446,4.450205607,1,1,5.941946009,4.591068512,5.877091169,5.521242818,0.046118096,1,0.990527313,0.772654027,2.866111421,2.235690527,0.772654027,0.990527313,0.780043131
AT1G01420,1.525934671,1.883041701,2.34883776,2.521269416,0.80364495,1,2.603083194,2.656439876,2.802587095,2.822432543,1,1,1.234025111,1.020497494,1.705894258,1.410717497,1.020497494,1.234025111,0.826966555
AT1G01430,8.838155898,7.177075617,4.52762774,4.260633034,0.417143161,1,11.22931576,11.70684556,4.838252995,4.894212915,0.7478619,1,0.812055784,1.04252528,1.270549636,1.631144241,1.04252528,0.812055784,1.283809931
AT1G01440,2.164551075,1.511088384,3.252142226,2.878733486,0.377210609,1,2.927132534,1.717853091,3.584408223,2.995400103,0.117397263,1,0.698107059,0.58687233,1.352304673,1.136831643,0.58687233,0.698107059,0.840662364
AT1G01470,71.99348945,84.22791518,6.711166844,6.932920585,0.321489464,1,87.91068691,94.87815373,6.992995032,7.1008744,0.654003607,1,1.169937946,1.079256198,1.221092179,1.126445473,1.079256198,1.169937946,0.922490122
AT1G01500,4.478710797,3.633309076,3.553959483,3.317287165,0.651705078,1,5.822238443,4.161688348,3.858091227,3.460813708,0.229017945,1,0.81123994,0.714791809,1.299980889,1.145426459,0.714791809,0.81123994,0.881110229
AT1G01510,2.321735747,2.025698341,3.329851956,3.181129215,0.742904669,1,3.178147949,2.271194833,3.682167376,3.29557219,0.312516409,1,0.872493066,0.714628415,1.368867216,1.121191042,0.714628415,0.872493066,0.819064865
AT1G01540,4.39017773,3.659466198,4.011189594,3.789595437,0.538801661,1,3.740450914,3.147486559,3.808928267,3.603140256,0.603098015,1,0.833557642,0.841472494,0.852004439,0.860094448,0.841472494,0.833557642,1.009495266
AT1G01550,15.84915728,15.2613544,5.246404738,5.195549093,0.895386175,1,33.72991351,26.7427439,6.28720379,5.96324503,0.046971481,1,0.962912673,0.792849466,2.128183405,1.752317861,0.792849466,0.962912673,0.823386677
AT1G01610,2.575283203,2.821272582,3.218329983,3.318098945,0.871454426,1,6.548263413,7.062406086,4.322075377,4.419189375,0.840948324,1,1.095519351,1.078515881,2.542735263,2.50326967,1.078515881,1.095519351,0.984479079
AT1G01620,65.98390795,59.35985046,6.980129178,6.830545536,0.510547062,1,82.69589618,67.58088353,7.30005097,7.013565586,0.040560118,0.995559136,0.899611016,0.817221732,1.253273696,1.138494841,0.817221732,0.899611016,0.908416769
AT1G01630,2.465209299,3.580078326,2.945762504,3.341309826,0.391660139,1,5.110248371,5.059516436,3.744493034,3.73252531,1,1,1.452241125,0.990072511,2.072947061,1.413241827,0.990072511,1.452241125,0.681754905
AT1G01650,0.649064642,0.763044546,2.49010477,2.631220299,0.814556582,1,1.455569349,1.22165875,3.268309223,3.07902328,0.742904669,1,1.175606398,0.839299585,2.242564538,1.601032019,0.839299585,1.175606398,0.713929072
AT1G01720,4.195948355,6.554375449,3.320837636,3.837838886,0.160953297,1,6.372752202,7.989270689,3.796961799,4.074780734,0.476943199,1,1.562072479,1.253660967,1.518787092,1.218921734,1.253660967,1.562072479,0.802562611
AT1G01730,10.32547012,8.771408665,4.062093435,3.862000631,0.630649157,1,6.457966723,6.247144268,3.492141185,3.454007528,1,1,0.849492426,0.96735467,0.625440454,0.712216761,0.96735467,0.849492426,1.138744314
AT1G01790,2.007128116,1.662862991,4.007689866,3.778868034,0.538801661,1,3.173885635,2.527657798,4.585763889,4.291662563,0.324884677,1,0.828478749,0.796392211,1.581306948,1.520063777,0.796392211,0.828478749,0.961270536
AT1G01800,5.564750414,7.010486081,3.651887574,3.928837983,0.435214072,1,7.180249906,8.426372055,3.951800666,4.151135027,0.561617202,1,1.259802428,1.173548576,1.290309425,1.201966876,1.173548576,1.259802428,0.931533827
AT1G01830,0.507892523,0.849517046,2.101190774,2.487734207,0.581095594,1,1.181757472,1.09253252,2.770418039,2.695717414,1,1,1.672631526,0.924498085,2.326786512,1.286063093,0.924498085,1.672631526,0.55272071
AT1G01910,3.493138551,2.932256466,3.674870116,3.471861092,0.671937474,1,2.735042112,2.533833161,3.383739424,3.298121502,0.877656139,1,0.839433198,0.926432961,0.78297556,0.864123991,0.926432961,0.839433198,1.103641079
AT1G01960,1.331233366,1.122378096,3.59461958,3.399303566,0.658858465,1,4.20717511,2.87074321,5.047721021,4.541514139,0.026132443,0.838133806,0.843111452,0.682344598,3.16035882,2.557732746,0.682344598,0.843111452,0.809317198
AT1G01970,5.279136427,4.59454036,3.594692966,3.435198841,0.770952723,1,5.706979721,6.149987993,3.678467365,3.767834093,0.895732418,1,0.870320444,1.077625696,1.081044182,1.338542599,1.077625696,0.870320444,1.238194165
AT1G01990,3.721244856,3.19802259,2.971871903,2.821739165,0.845051765,1,4.444554566,4.62495509,3.145619937,3.188546614,1,1,0.859395905,1.040589112,1.194373049,1.446192126,1.040589112,0.859395905,1.210837876
AT1G02000,1.69624615,1.022441977,2.553540735,2.158504652,0.60728351,1,3.052813592,2.536971322,3.110028564,2.917886308,0.720168442,1,0.602767456,0.831027262,1.799746807,2.481286351,0.831027262,0.602767456,1.378686347
AT1G02080,0.360955777,0.340367231,2.854339698,2.797467497,1,1,1.278499373,0.795890169,4.294419588,3.708110479,0.064111626,1,0.942961029,0.622519014,3.541983408,2.338327831,0.622519014,0.942961029,0.660174699
AT1G02090,1.560073524,2.107078997,2.650583336,2.938039441,0.541336081,1,1.683011422,2.211242708,2.705412846,2.974406317,0.701171261,1,1.350628009,1.313860785,1.078802631,1.049435124,1.313860785,1.350628009,0.972777683
AT1G02100,1.552146235,1.874175053,2.805976218,2.992894646,0.701171261,1,1.79690993,1.613665371,2.93746053,2.829884812,1,1,1.207473246,0.898022402,1.157693708,0.861000347,0.898022402,1.207473246,0.74372033
AT1G02130,4.165514077,4.724959157,3.377830576,3.520822853,0.766075572,1,4.707750906,5.605648356,3.508044294,3.713183209,0.683621453,1,1.134303971,1.190727476,1.130172848,1.18639086,1.190727476,1.134303971,1.049742844
AT1G02150,13.86208198,11.58347606,4.947607727,4.709810093,0.348878314,1,16.80926483,16.2437442,5.203848316,5.157553195,0.825297983,1,0.83562311,0.966356611,1.212607518,1.40232035,0.966356611,0.83562311,1.156450318
AT1G02170,1.856452985,1.519937472,2.545812074,2.379443617,0.80364495,1,6.026114696,4.000442111,3.771060625,3.296246709,0.160953297,1,0.818732004,0.663850974,3.246036794,2.631978081,0.663850974,0.818732004,0.810828172
AT1G02270,1.536310578,1.282670509,2.850612527,2.679650861,0.838851214,1,1.651935767,1.386032912,2.909309696,2.737141998,0.845051765,1,0.834903129,0.839035597,1.075261598,1.080583753,0.839035597,0.834903129,1.004949637
AT1G02290,0.964874902,1.383077775,2.180313559,2.455980265,0.790551206,1,0.956539,0.721493139,2.152348485,1.966848637,1,1,1.43342704,0.75427467,0.99136064,0.521657677,0.75427467,1.43342704,0.526203741
AT1G02300,2.622635823,2.839741327,3.1137764,3.198514018,0.864203809,1,1.87703439,0.904929438,2.763434972,2.152298994,0.23795367,1,1.082781415,0.482105945,0.715705312,0.318666151,0.482105945,1.082781415,0.445247709
AT1G02310,0.416725428,0.660080021,1.78868875,2.039694363,0.7265803,1,0.522847639,0.576256438,1.877091752,1.93260227,1,1,1.583968668,1.102149833,1.254657393,0.873009968,1.102149833,1.583968668,0.695815426
AT1G02390,0.781889862,1.310546744,2.156967239,2.560545571,0.60728351,1,1.401826812,1.632173042,2.604033811,2.745696183,0.831842009,1,1.676127045,1.164318608,1.792869917,1.245413832,1.164318608,1.676127045,0.694648184
AT1G02410,1.51489415,1.773557434,2.470077447,2.606167414,0.814556582,1,1.521750618,1.697204463,2.456074578,2.550662397,1,1,1.170746771,1.115297371,1.004526038,0.956949254,1.115297371,1.170746771,0.95263758
AT1G02450,3.450120939,2.511407024,2.162420011,1.960796335,0.753926275,1,1.557285356,1.04806276,1.692088466,1.54326144,1,1,0.727918548,0.673006239,0.451371237,0.417320948,0.673006239,0.727918548,0.924562564
AT1G02475,3.500936983,3.873116566,3.063979413,3.170572219,0.860086497,1,6.500508401,5.449017196,3.750916112,3.54241209,0.583295402,1,1.106308564,0.838244774,1.856791034,1.406881797,0.838244774,1.106308564,0.757695277
AT1G02500,28.26898451,24.26639262,6.135216129,5.922945739,0.342202029,1,30.46193665,30.17218729,6.238911115,6.225092452,0.903259716,1,0.858410482,0.99048815,1.077574493,1.243373408,0.99048815,0.858410482,1.153863066
AT1G02560,20.3954431,19.01547459,5.67291866,5.576754742,0.719971919,1,33.79168055,27.24323721,6.373872906,6.072456911,0.048733723,1,0.932339371,0.806211374,1.656825026,1.432687734,0.806211374,0.932339371,0.864718792
AT1G02620,0.828592017,0.502805846,1.896999031,1.667393259,0.687515258,1,0.811426721,0.464149746,1.858972393,1.605669737,0.687515258,1,0.606819563,0.572016837,0.979283778,0.923119231,0.572016837,0.606819563,0.942647322
AT1G02640,0.913765111,0.534782886,2.526077619,2.1169374,0.424003886,1,1.845597927,1.048553884,3.199938834,2.631781949,0.265044151,1,0.58525203,0.568137766,2.019772811,1.960709498,0.568137766,0.58525203,0.970757447
AT1G02680,1.247968499,1.780501381,2.148447685,2.414357593,0.581095594,1,1.157046642,1.415975868,2.074591469,2.216791816,1,1,1.426719811,1.223784605,0.927144109,0.795268054,1.223784605,1.426719811,0.857760995
AT1G02730,0.836886678,0.647377497,2.538027144,2.327839811,0.80364495,1,1.083325512,1.038105597,2.75785137,2.717200119,1,1,0.773554549,0.958258239,1.294470973,1.60355527,0.958258239,0.773554549,1.238772675
AT1G02750,1.235340086,1.703910315,2.225072806,2.476302328,0.790551206,1,1.062110181,1.571648736,2.097110146,2.391112444,0.581095594,1,1.379304642,1.479741711,0.859771486,0.922377617,1.479741711,1.379304642,1.072817176
AT1G02780,84.23458005,92.37544235,7.21408998,7.345215414,0.569132843,1,63.30314314,70.15100024,6.808804516,6.954088296,0.323857292,1,1.096645134,1.108175625,0.751510165,0.759411792,1.108175625,1.096645134,1.010514332
AT1G02820,3.198319425,5.528247432,2.390761749,2.881058994,0.383392426,1,0.897666455,2.193146807,1.623147172,2.091075751,0.289094542,1,1.728485088,2.44316449,0.280668168,0.39671647,2.44316449,1.728485088,1.413471547
AT1G02890,0.945658959,0.798718908,3.149224116,2.973686968,0.720168442,1,1.541731433,1.132995392,3.692298807,3.336225458,0.3917925,1,0.844616233,0.734885057,1.63032499,1.418515802,0.734885057,0.844616233,0.870081616
