FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	234	261	209	331	174	204	206	343	194	525	399	139
Size [mm2]	171.88	191.71	153.52	243.13	127.81	149.84	151.31	251.94	142.50	385.62	293.07	102.10
Fo	58.51	59.80	56.83	59.43	62.99	68.18	47.81	62.85	57.43	72.22	71.24	47.31
Fm	420.04	382.48	363.32	432.66	446.49	493.02	364.56	388.31	429.54	522.16	538.98	373.80
Fv	361.53	322.69	306.49	373.23	383.50	424.85	316.75	325.47	372.11	449.95	467.74	326.49
Fp	410.24	375.35	352.55	401.51	416.24	457.79	319.54	379.38	396.17	500.66	511.89	343.96
Fm_L1	298.10	263.05	249.05	307.60	296.31	356.40	260.73	295.56	305.90	350.89	366.90	254.93
Fm_L2	226.13	217.60	200.07	230.56	222.94	272.65	197.91	242.48	239.95	267.73	282.33	205.69
Fm_L3	209.17	201.90	194.61	213.19	206.75	253.86	184.28	218.02	217.84	242.32	250.56	185.67
Fm_L4	196.65	202.22	186.30	211.69	189.97	242.84	178.38	209.01	211.02	221.89	237.59	177.84
Fm_L5	181.76	199.77	187.81	207.63	180.06	233.10	167.37	200.22	201.22	211.06	220.52	169.81
Fm_L6	174.89	198.94	187.62	202.65	177.51	229.37	168.66	195.45	196.14	203.23	211.02	169.21
Fm_L7	169.20	194.48	179.56	197.47	169.29	215.41	166.07	183.03	188.96	193.83	206.70	156.89
Fm_L8	168.23	182.75	168.68	187.86	160.05	203.38	150.25	179.77	179.36	186.75	192.47	148.38
Fm_L9	154.89	165.38	164.10	177.05	149.85	188.04	145.48	172.08	167.30	176.66	177.90	139.71
Fm_L10	146.60	158.45	156.15	166.42	146.08	179.44	136.47	162.31	156.36	167.20	169.49	134.30
Fm_L11	141.96	151.88	146.62	160.11	138.26	169.46	125.94	153.82	148.60	160.01	158.32	127.97
Fm_L12	138.73	145.41	147.27	156.85	140.01	163.82	122.75	149.57	147.71	157.98	156.09	124.50
Fm_L13	133.60	139.73	138.98	152.21	136.28	159.94	126.09	147.30	140.32	151.70	154.07	119.16
Fm_L14	135.45	135.09	135.89	144.20	129.94	154.83	114.48	140.72	135.96	148.00	154.20	115.09
Fm_Lss	132.94	133.13	133.42	141.01	129.47	149.55	112.36	144.43	127.05	147.47	143.58	98.24
Fm_D1	159.99	165.84	166.86	178.88	158.41	187.94	138.59	177.55	162.22	177.64	178.08	124.32
Fm_D2	193.91	190.77	190.69	212.38	180.41	229.24	167.60	200.98	195.85	213.25	217.27	151.02
Fm_D3	240.43	228.24	218.47	256.51	232.60	279.26	205.40	227.71	243.40	269.19	281.70	135.38
Fm_D4	272.61	251.87	236.88	287.15	280.34	324.78	227.86	255.50	266.92	315.99	330.24	121.34
Ft_L1	293.86	249.52	237.59	298.47	283.34	344.73	255.89	281.32	298.00	343.65	358.58	253.31
Ft_L2	213.67	199.69	189.38	217.38	215.52	257.71	187.94	222.93	220.16	256.22	267.50	189.61
Ft_L3	194.00	191.40	180.61	202.87	186.69	235.97	170.92	199.17	202.79	225.89	237.94	173.06
Ft_L4	174.70	184.67	174.95	192.80	176.95	222.91	164.96	188.86	193.84	206.08	219.39	165.98
Ft_L5	166.12	180.30	166.86	188.20	167.74	212.62	156.81	182.42	184.55	193.51	205.93	156.42
Ft_L6	160.32	173.58	166.75	182.49	164.82	207.16	153.77	175.54	182.15	183.36	197.84	153.14
Ft_L7	148.81	169.56	161.40	179.24	149.77	198.82	143.57	165.68	171.73	175.45	184.88	143.78
Ft_L8	146.22	160.32	154.57	173.77	145.17	187.35	139.63	159.27	163.36	172.55	176.08	138.58
Ft_L9	133.69	148.84	146.54	160.11	137.74	170.92	129.22	150.08	151.59	158.89	162.43	126.63
Ft_L10	130.72	137.33	136.50	146.51	129.20	158.75	119.39	146.25	138.11	146.48	148.68	118.25
Ft_L11	126.32	134.35	131.77	146.48	123.94	154.34	114.16	141.70	133.44	144.24	144.30	113.13
Ft_L12	125.19	126.61	128.30	136.98	117.56	144.11	104.89	135.48	126.87	136.40	138.06	105.73
Ft_L13	118.38	119.28	118.05	129.43	113.86	139.19	101.01	132.41	123.21	129.55	135.91	97.25
Ft_L14	111.58	116.03	115.66	127.73	108.04	137.67	99.27	124.48	117.91	128.95	129.23	96.56
Ft_Lss	111.10	113.85	116.70	122.20	108.54	129.59	96.92	124.35	115.42	125.46	125.50	81.99
Ft_D1	53.42	58.18	59.57	57.64	50.58	64.73	45.73	67.66	54.11	62.19	59.63	45.00
Ft_D2	53.36	56.28	56.98	56.60	51.86	66.37	43.56	63.23	52.73	57.12	57.94	37.64
Ft_D3	52.52	58.17	58.26	58.39	59.37	65.99	43.61	65.72	55.99	62.63	63.11	30.06
Ft_D4	60.26	53.77	60.05	55.26	59.84	67.00	46.68	67.01	55.60	67.23	61.44	27.70
