FluorCam7 Numeric Avg Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20
Size [pixels]	2360	863	1630	1190	1338	2024	1766	1614	1456	2985	1961	1617	2216	1895	1289	1303	1775	1453	2215	1406
Size [mm2]	1733.47	633.89	1197.27	874.08	982.79	1486.67	1297.17	1185.52	1069.46	2192.55	1440.40	1187.72	1627.70	1391.92	946.80	957.08	1303.78	1067.26	1626.97	1032.74
Fo	66.85	63.70	78.14	59.08	75.91	85.30	87.88	79.40	77.99	94.19	84.36	83.82	78.33	90.59	93.78	69.55	68.12	74.70	83.57	73.44
Fm	362.01	353.91	448.45	331.38	393.48	442.76	470.57	452.29	393.71	547.77	487.43	462.72	445.74	495.83	520.84	369.24	352.81	451.96	474.74	412.03
Fv	295.16	290.20	370.31	272.29	317.57	357.46	382.70	372.89	315.71	453.59	403.08	378.89	367.41	405.24	427.05	299.69	284.69	377.25	391.17	338.59
Fp	366.34	348.27	453.17	333.04	395.28	435.31	469.98	454.75	391.21	544.44	486.81	462.65	446.90	489.98	518.48	363.97	350.79	445.45	473.04	410.93
Fm_L1	212.80	203.26	290.27	216.62	260.77	264.50	282.31	290.23	241.93	344.74	315.43	276.10	289.70	292.69	302.36	227.92	219.17	289.20	271.71	224.57
Fm_L2	166.08	161.00	223.03	178.78	202.82	209.61	221.24	220.70	195.07	261.38	240.08	213.84	232.04	229.69	234.52	177.66	176.20	227.67	217.14	185.36
Fm_L3	156.95	153.48	207.27	167.23	186.64	194.66	205.61	209.97	181.32	243.13	225.61	199.39	214.23	217.37	222.23	166.52	161.08	210.43	203.71	177.34
Fm_L4	148.41	144.81	196.02	159.27	176.01	188.18	199.24	202.36	174.02	236.37	215.55	192.29	204.46	209.15	213.74	159.02	154.64	203.65	194.78	170.32
Fm_L5	142.75	141.21	190.21	152.58	170.34	184.21	193.36	195.33	167.17	230.69	211.02	186.50	198.34	204.55	209.36	152.43	150.00	194.88	189.46	164.98
Fm_L6	143.54	137.63	184.48	150.26	170.18	177.34	186.57	187.03	164.92	223.79	203.41	181.27	194.35	198.52	203.27	148.46	148.60	189.15	182.54	160.71
Fm_L7	139.12	134.84	176.99	145.35	161.78	171.45	181.66	184.55	159.20	214.53	199.05	177.57	188.24	193.55	195.42	144.27	143.25	179.41	178.44	158.52
Fm_L8	136.44	131.67	173.38	142.89	157.76	168.45	178.87	176.45	154.72	208.18	190.86	172.87	183.45	188.31	190.28	142.34	137.28	175.37	173.29	155.24
