FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18	Area 19	Area 20
Size [pixels]	2454	2370	1141	2165	1360	541	2930	1332	2232	2048	1926	2169	962	2172	1454	1899	839	1051	2493	2208
Size [mm2]	1802.52	1740.82	838.09	1590.24	998.95	397.38	2152.15	978.38	1639.45	1504.30	1414.69	1593.18	706.61	1595.38	1068.00	1394.86	616.26	771.98	1831.16	1621.83
Fo	78.12	86.54	71.52	86.21	81.78	73.79	105.66	99.49	100.31	104.09	100.90	102.36	87.57	105.32	101.00	94.77	81.33	86.14	94.52	94.49
Fm	457.21	466.79	492.49	557.65	539.67	442.79	630.07	617.95	480.48	676.03	645.62	557.12	570.21	597.89	526.75	510.28	437.19	570.59	524.48	572.85
Fv	379.09	380.25	420.97	471.44	457.89	369.00	524.42	518.46	380.17	571.94	544.72	454.77	482.65	492.57	425.75	415.51	355.86	484.44	429.96	478.36
Fp	457.35	447.89	491.78	562.89	545.37	426.34	613.89	625.52	469.98	671.28	644.23	539.91	571.16	578.71	501.19	479.64	422.37	564.38	506.20	551.75
Fm_L1	233.24	239.49	333.60	370.20	372.56	259.11	320.18	405.04	256.95	473.40	438.56	279.48	388.93	313.00	260.10	248.11	223.40	393.26	269.84	279.06
Fm_L2	203.77	212.81	265.75	302.89	295.93	218.92	280.40	330.30	223.94	380.34	352.48	250.99	318.77	272.35	237.35	226.85	199.98	314.77	240.27	247.85
Fm_L3	195.55	203.28	250.82	288.08	277.94	210.88	266.67	313.34	215.88	356.27	330.94	240.93	295.02	258.96	231.78	219.21	191.12	291.59	230.52	236.31
Fm_L4	188.98	197.60	237.41	274.36	263.84	198.75	258.72	301.23	211.04	335.67	314.98	235.30	282.55	249.71	222.23	212.73	185.17	278.16	225.50	231.48
Fm_L5	182.21	197.42	232.11	263.33	255.57	191.36	253.26	289.10	202.89	324.58	305.26	230.05	267.53	244.33	219.66	209.83	179.75	269.89	218.63	224.74
Fm_L6	179.67	193.34	223.10	256.04	251.05	192.79	246.92	277.49	202.62	312.07	294.37	226.05	261.32	239.73	213.36	208.23	179.55	265.82	214.30	220.90
Fm_L7	176.23	191.87	207.60	242.23	240.08	183.06	241.09	265.41	195.10	296.69	279.61	222.62	246.40	235.54	208.66	202.93	176.37	252.60	211.77	215.23
Fm_L8	171.58	187.92	204.23	234.60	229.05	179.43	238.02	257.10	193.38	279.41	268.53	220.59	236.15	232.03	208.28	201.64	170.74	239.44	209.62	212.85
Fm_L9	166.25	183.89	185.22	217.00	212.81	169.80	231.37	239.54	187.39	261.40	251.74	211.10	219.65	225.19	203.00	195.02	165.67	218.08	206.06	207.91
Fm_L10	166.94	178.46	174.87	206.64	205.72	165.72	225.54	230.35	185.70	249.03	239.01	207.14	209.08	218.17	196.48	190.06	164.77	204.85	200.32	203.48
Fm_L11	161.72	177.03	167.44	199.17	195.10	162.15	219.23	219.49	181.67	236.40	228.63	203.60	202.24	210.39	192.19	187.34	163.18	194.49	197.12	200.49
Fm_L12	159.42	174.79	163.09	191.97	187.18	156.86	217.38	215.18	178.56	231.80	221.30	200.97	193.05	209.30	190.44	182.70	158.66	186.94	193.52	195.69
Fm_L13	157.27	173.26	160.35	185.47	184.09	155.89	213.77	207.42	175.03	223.15	214.17	199.86	185.13	204.20	190.36	183.07	157.19	181.40	195.47	194.48
Fm_L14	156.01	171.76	157.47	181.87	178.92	149.43	211.94	204.23	172.97	219.79	208.80	196.25	180.97	202.63	186.09	178.50	153.76	175.92	190.47	191.42
Fm_Lss	155.68	169.12	153.14	177.21	174.46	147.56	208.04	198.58	171.15	214.21	202.74	193.66	179.55	198.21	181.63	176.52	152.76	168.15	188.31	188.47
Fm_D1	183.27	196.32	192.18	218.87	216.05	173.54	249.66	256.57	197.20	260.38	251.55	236.85	226.03	226.48	216.78	209.57	189.46	206.69	233.44	225.66
Fm_D2	216.27	232.35	230.42	259.76	252.44	209.25	295.13	306.83	224.29	308.95	295.44	280.57	266.65	270.00	252.00	248.01	222.75	246.33	276.70	270.00
Fm_D3	269.73	282.12	283.22	320.63	311.36	254.13	369.27	379.60	271.38	385.76	366.10	348.19	334.29	339.83	312.89	308.28	273.43	307.81	339.17	338.21
Fm_D4	330.45	343.51	335.03	377.69	372.00	309.28	448.78	434.84	332.07	469.75	438.13	412.60	394.05	425.45	374.29	370.35	321.02	375.49	396.07	415.79
Ft_L1	216.84	220.57	323.66	358.61	355.54	245.12	305.18	389.38	238.62	457.98	423.37	261.35	372.99	297.45	246.07	233.51	207.38	381.95	257.55	264.50
Ft_L2	184.04	195.35	250.13	283.57	274.38	203.98	257.22	308.52	204.24	352.28	328.07	230.22	293.31	251.68	219.81	211.06	182.38	292.35	222.92	228.39
Ft_L3	173.50	185.45	229.24	265.90	253.95	188.88	242.05	289.90	195.62	327.66	304.23	220.01	272.04	236.70	208.12	199.83	172.86	272.36	210.24	214.69
Ft_L4	165.77	178.53	216.46	250.08	237.69	179.98	231.14	272.24	187.99	305.15	286.98	211.00	254.82	225.12	200.97	193.81	166.14	254.68	200.91	205.82
Ft_L5	161.16	173.80	207.70	237.88	229.15	171.74	225.05	260.45	182.52	290.64	275.70	203.42	243.48	218.54	196.86	185.97	161.26	246.06	194.96	198.55
Ft_L6	156.59	170.89	200.38	230.35	222.01	167.61	219.10	251.62	178.48	279.05	266.12	200.10	236.15	213.24	191.95	183.93	158.46	237.34	188.56	195.51
Ft_L7	151.83	167.50	187.98	216.62	209.34	161.06	213.64	237.22	173.04	263.67	249.82	193.58	219.83	208.25	187.35	177.11	154.87	226.89	183.10	189.31
Ft_L8	149.59	162.29	175.43	205.57	199.23	154.91	207.27	225.99	169.93	247.83	237.58	188.51	211.69	202.86	182.14	173.53	150.72	213.81	178.54	185.42
Ft_L9	142.22	157.22	162.61	191.44	183.29	149.11	198.96	211.08	163.13	228.26	218.64	182.06	193.35	193.33	175.69	167.77	144.98	191.15	171.48	178.99
Ft_L10	139.00	154.24	154.22	181.49	173.74	142.57	193.62	199.47	159.98	215.00	206.63	175.44	184.79	187.09	172.22	162.06	142.49	179.11	168.68	173.90
Ft_L11	134.50	150.19	149.04	174.51	165.58	138.46	189.00	192.31	155.88	205.35	199.03	172.76	174.97	182.17	168.73	161.30	138.40	171.40	165.58	170.90
Ft_L12	131.56	148.26	141.41	168.40	159.09	135.53	184.05	187.07	152.68	198.68	189.70	170.09	169.71	178.17	162.91	158.15	133.84	161.95	161.23	166.45
Ft_L13	129.78	144.47	138.53	162.25	155.05	129.88	180.84	179.83	150.23	192.08	184.54	166.63	164.16	173.83	162.58	153.73	133.32	156.62	158.30	164.61
Ft_L14	129.72	142.02	135.29	157.99	152.49	127.88	178.55	177.07	149.33	187.66	178.38	165.36	159.27	171.98	160.13	152.84	132.50	151.44	157.11	162.36
Ft_Lss	127.10	140.45	133.31	155.76	148.57	125.06	176.45	174.52	145.57	182.24	174.81	162.90	155.52	168.89	157.82	150.53	128.78	146.62	154.40	161.06
Ft_D1	68.85	79.96	66.80	82.43	75.97	68.22	92.58	98.17	83.94	98.53	92.36	89.76	82.93	91.17	89.01	79.29	71.38	75.37	85.11	81.20
Ft_D2	69.44	80.18	67.04	82.78	76.00	68.20	91.88	96.73	86.59	98.70	91.71	90.08	83.86	90.71	89.14	79.35	74.38	77.34	86.12	81.68
Ft_D3	73.82	85.57	70.72	87.85	79.86	73.90	99.25	102.39	90.72	104.39	96.76	97.61	85.81	98.74	96.30	87.75	77.48	82.17	91.87	89.38
Ft_D4	78.04	87.93	73.59	84.69	82.01	78.13	103.33	101.35	96.90	108.19	99.96	98.52	92.62	104.27	99.18	88.49	74.94	84.65	91.11	94.66
Fo_L1	67.11	73.59	66.89	79.95	76.57	65.99	90.90	91.73	84.89	97.65	93.96	86.56	81.72	90.77	84.41	79.22	69.04	80.65	80.78	80.51
Fo_L2	64.43	70.86	63.63	76.29	72.70	63.05	87.38	87.26	80.95	92.96	89.29	83.62	78.11	87.00	81.86	76.92	66.63	76.73	77.91	77.69
Fo_L3	63.58	69.77	62.74	75.31	71.57	62.36	86.00	86.03	79.87	91.45	87.84	82.47	76.60	85.59	81.19	76.02	65.61	75.27	76.86	76.52
Fo_L4	62.87	69.09	61.86	74.34	70.59	61.26	85.16	85.09	79.20	90.03	86.68	81.80	75.73	84.55	79.98	75.23	64.90	74.34	76.29	76.00
Fo_L5	62.11	69.07	61.50	73.51	69.99	60.54	84.56	84.09	78.02	89.22	85.92	81.16	74.60	83.93	79.65	74.86	64.22	73.74	75.49	75.26
Fo_L6	61.81	68.56	60.85	72.93	69.64	60.68	83.84	83.08	77.98	88.24	85.04	80.65	74.11	83.38	78.80	74.66	64.19	73.43	74.96	74.83
Fo_L7	61.40	68.38	59.63	71.76	68.77	59.68	83.16	81.96	76.84	86.97	83.76	80.21	72.86	82.86	78.15	73.97	63.78	72.39	74.65	74.17
